event,fname,dist,azimuth,back_azimuth,pkppre_SNR,pkpdf_SNR,array
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_M22A_BHZ.SAC,128.7995,20.273277,332.74896,1.189304508637355,13.248428445373593,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_Z29A_BHZ.SAC,137.81065,20.302095,335.69043,2.5018965699494853,37.68689142343751,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_632A_BHZ.SAC,141.89572,20.314516,336.67645,9.957764907928,21.54087352578571,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_J20A_BHZ.SAC,126.56162,20.358894,331.69693,1.9208118084285395,11.531695240400271,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_O23A_BHZ.SAC,130.09442,20.381643,333.12152,0.954051005015072,52.36919092804367,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_230A_BHZ.SAC,139.26376,20.458559,335.89136,2.846000651921755,46.35986256653085,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_L21A_BHZ.SAC,128.0344,20.597294,332.03503,1.3322911904455228,83.15564982222752,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_I19A_BHZ.SAC,125.645515,20.669477,330.8874,1.2493118175332212,15.929112898859096,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_W27A_BHZ.SAC,135.70505,20.689144,334.65012,1.6206169983043115,12.705039036274888,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_M21A_BHZ.SAC,128.35175,20.805773,331.9101,1.0948193994165414,36.80349947482868,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_531A_BHZ.SAC,141.0302,20.86188,335.87204,3.0619092230972167,31.07140324387732,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_129A_BHZ.SAC,138.32484,20.875196,335.17746,1.0271578015164604,18.11635399612475,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_Z28A_BHZ.SAC,137.54564,21.052832,334.7638,0.9455988167960412,13.87854552444084,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_MSTX_BHZ.SAC,136.79382,21.05299,334.55103,2.3239185606527366,38.58635854683104,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_732A_BHZ.SAC,142.54092,21.063564,335.99515,5.704823574840835,18.798382490876964,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_J19A_BHZ.SAC,126.29724,21.181532,330.54617,0.6154995573267003,10.035981903578143,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_U25A_BHZ.SAC,134.02736,21.255167,333.46844,1.5578257255353123,11.391967874033009,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_K19A_BHZ.SAC,126.75486,21.28634,330.62424,0.4985051546727731,30.2062657932968,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_430A_BHZ.SAC,140.21912,21.3113,335.1765,1.1518795261918735,12.32111043273789,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_L20A_BHZ.SAC,127.650986,21.37601,330.9106,1.188272657112425,18.393560959090497,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_631A_BHZ.SAC,141.70262,21.394218,335.4416,4.734951648152284,30.807584078066537,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_N21A_BHZ.SAC,129.04033,21.453207,331.40292,1.2181281707491731,37.63813303027122,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_P22A_BHZ.SAC,130.34099,21.50515,331.8586,1.6187703607641617,15.156130353062736,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_XR_SC26_BHZ.SAC,137.08615,21.728905,333.8659,0.7047407408551412,17.907902482125216,2009-04-09T08:10:54.020Z_0
2009-04-09T08:10:54.020Z,example_data/2009-04-09T08:10:54.020Z_TA_O21A_BHZ.SAC,129.53604,21.748331,331.2478,1.0936432337040642,15.352588929741303,2009-04-09T08:10:54.020Z_0
